"Participant ID","Completed","Pre/Post","Score","Difference","Provider","State","Caseload","Group Frequency","Online Frequency","Rural Frequency","Service","Archived","q_01","q_02","q_03","q_04","q_05","q_06","q_07","q_08","q_09","q_10","q_11","q_12","q_13","q_14","q_15","q_16","q_17","Mode"
236,"10/05/2024 15:20:29 (MST)","Pre",53.67,1.45,"Logistics Specialties Inc. (8)","Utah","","","","","JS",0,3,0,3,1,3,2,2,3,2,0,NA,NA,3,NA,"1",NA,"","No Help"
956,"07/22/2024 16:13:34 (MST)","Pre",43.67,-22.05,"North Sanpete School District (24)","Utah","","always","never","","ISA",0,2,1,2,3,3,3,2,1,NA,NA,2,3,2,1,"",NA,"","No Help"
1626,"07/23/2022 09:27:49 (MST)","Pre",-3,-14.11,"Logistics Specialties Inc. (8)","Utah","","always","never","","CPSO",0,3,2,1,3,2,2,2,2,2,3,NA,2,2,3,"",NA,"",""
6,"03/21/2025 16:12:25 (MST)","Pre",70.33,NA,"Logistics Specialties Inc. (8)","Oklahoma","","","sometimes","","JS",0,2,0,2,1,2,2,2,1,2,3,2,2,NA,NA,"",NA,"","No Help"
2354,"10/06/2024 23:14:13 (MST)","Pre",80.33,26.16,"Logistics Specialties Inc. (8)","Oklahoma","","","","","JOBEX",0,1,2,0,3,2,2,2,3,2,NA,NA,3,NA,1,"",NA,"",""
275,"04/26/2022 07:54:31 (MST)","Pre",53.67,NA,"Logistics Specialties Inc. (8)","Oklahoma","","never","sometimes","","CSS",0,1,1,1,2,3,3,2,2,1,NA,NA,3,NA,NA,"",NA,"",""
891,"12/06/2024 11:25:47 (MST)","Post",92.24,NA,"North Sanpete School District (24)","Utah","","","","","ILOM",0,3,1,1,3,3,2,2,1,3,NA,2,1,NA,3,"",NA,"",""
187,"03/21/2025 18:44:35 (MST)","Pre",83.67,NA,"North Sanpete School District (24)","Utah","","","","always","CSS",0,3,0,2,3,0,1,2,2,3,1,3,NA,NA,NA,"",NA,"","No Help"
90,"10/04/2024 13:23:57 (MST)","Pre",82.19,8.91,"Logistics Specialties Inc. (8)","Utah","","","sometimes","","WBLE",0,3,3,2,2,3,3,3,0,0,1,NA,NA,NA,NA,"1",NA,"","No Help"
2091,"03/14/2025 14:55:23 (MST)","Pre",57.61,8.9,"Spectrum Academy (28)","Montana","","","","","CSS",0,2,3,2,0,2,2,1,NA,2,1,NA,3,NA,NA,"",NA,"","No Help"
1771,"10/26/2024 19:48:36 (MST)","Post",60.33,27,"North Sanpete School District (24)","Utah","","rarely","","sometimes","CPSO",0,1,1,1,3,2,3,3,2,3,0,NA,NA,NA,NA,"",NA,"","No Help"
331,"05/05/2025 14:33:29 (MST)","Post",52.56,NA,"Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,3,3,1,3,1,1,3,3,3,1,NA,NA,NA,NA,"",NA,"",""
376,"10/08/2022 23:01:00 (MST)","Pre",51.76,0.71,"Logistics Specialties Inc. (8)","Utah","","","sometimes","never","WBLE",0,2,0,3,3,1,3,2,1,0,NA,1,NA,NA,NA,"",NA,"","With Help"
1374,"04/20/2025 17:53:23 (MST)","Post",67.83,NA,"A2Demo (21)","Utah","specialized","","","","CPSO",0,2,1,3,3,3,2,3,1,3,NA,NA,NA,3,2,"",NA,"","No Help"
2305,"04/26/2025 11:20:25 (MST)","Post",49.38,NA,"Roads to Independence (26)","Utah","","","","","WSS",0,2,1,0,2,2,1,1,3,3,3,3,NA,NA,NA,"",NA,"","With Help"
2157,"05/24/2025 14:40:25 (MST)","Pre",52.56,30.34,"Adams 12 (98)","Utah","general","","","","FL",0,2,2,3,1,2,2,3,2,NA,NA,1,NA,NA,NA,"",NA,"",""
2091,"08/21/2023 12:41:04 (MST)","Post",50.33,-19.67,"Logistics Specialties Inc. (8)","Utah","","","","rarely","ISA",0,3,1,2,3,2,3,2,3,2,NA,2,2,NA,NA,"",NA,"","No Help"
2532,"09/26/2023 12:11:05 (MST)","Pre",61.29,NA,"Community Options (82)","Utah","","","","","JS",0,2,3,2,2,2,1,3,3,2,3,1,NA,NA,NA,"1",NA,"","No Help"
2334,"10/14/2023 17:35:53 (MST)","Pre",51.17,NA,"Columbus Community Center (9)","Utah","specialized","","","","WBLE",0,3,3,2,2,3,2,2,2,2,2,NA,0,NA,NA,"",NA,"","No Help"
1501,"03/22/2024 17:52:44 (MST)","Pre",72,NA,"Logistics Specialties Inc. (8)","Utah","","always","","","WSS",0,1,2,1,2,1,2,0,1,NA,NA,2,2,3,NA,"",NA,"","No Help"
398,"06/16/2024 12:38:47 (MST)","Post",60.33,NA,"Logistics Specialties Inc. (8)","Utah","","","","always","ISA",0,3,3,2,2,2,3,2,1,2,2,NA,NA,NA,NA,"",NA,"","No Help"
891,"10/19/2024 13:55:40 (MST)","Post",97,-3,"Central Technology Center (Central Tech) (56)","Utah","general","","","never","JS",0,2,1,2,1,2,2,3,3,1,NA,NA,NA,2,NA,"",NA,"","No Help"
978,"07/10/2023 20:11:33 (MST)","Pre",76.17,NA,"Central Technology Center (Central Tech) (56)","Utah","general","","","","CSS",0,2,1,2,3,1,2,1,3,3,1,NA,3,NA,NA,"$ 15.00",NA,"",""
2449,"03/13/2023 13:40:34 (MST)","Pre",27.95,NA,"Roads to Independence (26)","Colorado","","","","","JS",0,0,3,2,2,2,3,3,NA,NA,NA,2,2,NA,NA,"2",NA,"",""
227,"10/10/2023 10:36:52 (MST)","Pre",63.67,NA,"Logistics Specialties Inc. (8)","Utah","","","sometimes","","ISA",0,1,2,1,2,1,1,2,1,2,2,1,NA,2,0,"",NA,"","No Help"
1239,"05/26/2024 16:37:30 (MST)","Pre",78.82,NA,"Roads to Independence (26)","Utah","","","never","never","JS",0,3,1,3,3,2,1,1,1,3,3,NA,NA,2,NA,"",NA,"","No Help"
1775,"03/12/2023 08:38:02 (MST)","Pre",23.67,42.24,"Logistics Specialties Inc. (8)","Utah","specialized","","","","WSS",0,2,3,3,3,3,1,2,2,3,3,NA,NA,NA,NA,"",NA,"","No Help"
735,"09/12/2022 03:47:58 (MST)","Post",48.85,38.67,"Logistics Specialties Inc. (8)","Utah","","","","","CPSO",0,2,2,1,3,0,3,1,1,0,2,NA,NA,NA,NA,"",NA,"","No Help"
512,"10/14/2023 13:48:42 (MST)","Pre",30.33,NA,"Roads to Independence (26)","Utah","","","","sometimes","CPSO",0,3,2,3,2,3,0,3,3,0,3,NA,2,NA,NA,"",NA,"","No Help"
1916,"05/22/2022 00:00:00 (MST)","Pre",27,NA,"Logistics Specialties Inc. (8)","Utah","general","","","always","JOBEX",0,3,0,2,3,1,2,2,1,NA,3,NA,NA,NA,0,"",NA,"","No Help"
1369,"10/23/2022 03:10:25 (MST)","Pre",52.56,NA,"Community Options (82)","Utah","general","","","","JS",0,2,3,0,1,3,3,3,3,1,3,NA,NA,3,NA,"",NA,"",""
1254,"03/17/2024 21:44:39 (MST)","Pre",40.33,NA,"Logistics Specialties Inc. (8)","Utah","","never","","","FL",0,3,0,1,3,2,2,3,1,NA,2,3,NA,NA,NA,"",NA,"","No Help"
1669,"11/12/2024 12:09:57 (MST)","Pre",30.33,-0.62,"Logistics Specialties Inc. (8)","Utah","","","","","WBLE",0,3,0,1,3,2,3,3,2,3,NA,NA,NA,3,NA,"",NA,"","No Help"
267,"04/21/2025 15:22:22 (MST)","Pre",63.67,NA,"Logistics Specialties Inc. (8)","Utah","","never","","","JOBEX",0,1,2,2,1,3,3,3,1,NA,3,1,NA,2,NA,"2",NA,"","No Help"
641,"07/29/2023 19:05:35 (MST)","Pre",93.67,-3,"Logistics Specialties Inc. (8)","Utah","specialized","","","","ILOM",0,3,0,1,2,3,3,1,2,2,NA,NA,NA,NA,2,"",NA,"","No Help"
956,"02/07/2023 08:55:30 (MST)","Post",57.61,NA,"Logistics Specialties Inc. (8)","Utah","","","","","CSS",1,1,2,0,2,2,0,1,2,1,0,3,3,NA,NA,"",NA,"","No Help"
1103,"05/02/2025 18:27:54 (MST)","Pre",81.44,NA,"Logistics Specialties Inc. (8)","Utah","general","","","sometimes","CPSO",0,2,2,2,2,2,2,2,1,3,NA,3,NA,NA,3,"",NA,"","No Help"
858,"10/29/2024 15:21:39 (MST)","Pre",49.38,NA,"Logistics Specialties Inc. (8)","Utah","","","","often","ISA",0,3,2,2,2,1,3,0,1,1,NA,NA,NA,NA,2,"",NA,"","No Help"
1073,"03/24/2025 13:37:14 (MST)","Pre",51.76,NA,"Utah Schools for Deaf/Blind (58)","Utah","","","","","WSS",0,1,2,3,1,2,3,3,2,NA,2,NA,2,1,NA,"2",NA,"","No Help"
1026,"07/01/2022 06:37:09 (MST)","Pre",92.83,NA,"Logistics Specialties Inc. (8)","Utah","general","","often","sometimes","JS",0,3,1,3,3,0,0,2,3,1,NA,NA,3,NA,NA,"",NA,"","No Help"
1916,"11/10/2024 15:05:19 (MST)","Pre",41.44,11.28,"Yellowstone Academy (214)","Wyoming","","","","","ISA",0,1,2,2,1,2,2,1,NA,NA,2,NA,NA,1,NA,"",NA,"","No Help"
1362,"12/08/2024 11:44:53 (MST)","Post",59.22,NA,"University of Oklahoma (50)","Utah","","often","rarely","always","WSS",0,2,1,1,3,2,2,3,1,3,NA,NA,NA,NA,NA,"",NA,"",""
2121,"02/07/2023 08:51:57 (MST)","Post",52.56,NA,"Turn Community Services (29)","Utah","","","rarely","","ISA",0,1,2,3,3,1,3,3,1,1,NA,NA,NA,NA,NA,"",1,"","With Help"
2387,"04/19/2022 09:58:04 (MST)","Pre",73.67,NA,"Community Options (82)","Utah","","","","often","CPSO",0,2,2,3,3,1,1,1,3,0,NA,NA,NA,NA,NA,"",NA,"","No Help"
681,"09/04/2023 11:49:36 (MST)","Pre",60.64,NA,"Logistics Specialties Inc. (8)","Utah","","","","","FL",0,1,2,3,2,2,2,3,0,1,3,NA,NA,3,0,"",NA,"","No Help"
1441,"01/28/2024 16:47:42 (MST)","Post",97,NA,"Logistics Specialties Inc. (8)","Oklahoma","","","","often","CSS",0,1,1,0,3,3,2,1,3,2,NA,NA,2,NA,NA,"",NA,"","No Help"
1669,"09/15/2024 15:58:47 (MST)","Pre",68.43,NA,"Turn Community Services (29)","Utah","","","","","FL",0,2,1,0,1,2,2,3,2,2,NA,NA,2,10,2,"",NA,"","No Help"
2126,"10/04/2024 13:28:00 (MST)","Pre",87.91,NA,"Logistics Specialties Inc. (8)","Utah","","","","","JOBEX",0,3,1,1,1,3,3,3,3,2,1,NA,NA,NA,NA,"3",NA,"","With Help"
497,"09/28/2024 14:26:01 (MST)","Post",71.07,NA,"Logistics Specialties Inc. (8)","Utah","","","sometimes","often","ISA",0,2,2,3,2,1,2,1,3,NA,0,NA,NA,NA,NA,"",NA,"","With Help"
2264,"08/13/2024 14:25:52 (MST)","Pre",80.33,7,"Turn Community Services (29)","Utah","","","","","CPSO",0,3,0,1,0,1,2,1,3,2,3,0,NA,NA,NA,"1",NA,"","No Help"
2214,"09/03/2023 15:22:28 (MST)","Post",85.89,NA,"Logistics Specialties Inc. (8)","Utah","","","","","WBLE",0,1,0,1,2,0,1,0,3,2,NA,3,NA,NA,1,"",NA,"","No Help"
1771,"03/03/2023 00:58:00 (MST)","Pre",23.67,13.67,"Logistics Specialties Inc. (8)","Utah","specialized","","","","JOBEX",0,1,0,1,3,3,2,2,1,2,NA,NA,3,2,NA,"1",NA,"","No Help"
978,"11/04/2024 11:38:07 (MST)","Post",97,28.11,"Turn Community Services (29)","Utah","specialized","","","","CSS",0,3,0,3,2,1,1,2,1,NA,3,NA,NA,NA,3,"",NA,"",""
2224,"08/09/2022 04:26:36 (MST)","Pre",50.33,42.24,"Hamilton School Dist. #3 (170)","Utah","","","sometimes","","JOBEX",0,3,3,0,0,3,3,3,2,NA,1,3,2,NA,2,"",NA,"","No Help"
1501,"08/18/2024 16:05:50 (MST)","Post",66.7,30.34,"Logistics Specialties Inc. (8)","Utah","","sometimes","","often","JS",0,1,2,0,1,3,1,0,1,2,NA,0,3,NA,3,"",NA,"","No Help"
2093,"01/13/2024 15:59:06 (MST)","Pre",67.37,NA,"Logistics Specialties Inc. (8)","Utah","general","often","","","JOBEX",0,2,2,3,3,0,3,3,0,NA,NA,3,3,2,NA,"",NA,"","No Help"
774,"12/11/2023 22:49:49 (MST)","Pre",39.22,NA,"Logistics Specialties Inc. (8)","Utah","","","","always","ISA",0,3,3,1,3,2,2,3,3,NA,2,3,NA,2,0,"",NA,"","No Help"
681,"01/12/2024 13:17:28 (MST)","Post",61.29,NA,"Logistics Specialties Inc. (8)","Oklahoma","","","","","ISA",0,2,1,2,3,3,3,3,2,NA,2,1,3,2,1,"",NA,"",""
1935,"07/29/2023 17:12:11 (MST)","Post",57,3.67,"Spectrum Academy (28)","Utah","general","","sometimes","never","FL",1,3,3,2,1,1,1,1,2,1,NA,NA,NA,3,3,"",NA,"","No Help"
2126,"10/14/2023 14:11:39 (MST)","Pre",88.67,NA,"North Sanpete School District (24)","Utah","","","rarely","","WBLE",0,2,2,3,3,2,3,2,2,1,NA,NA,0,3,NA,"",NA,"","No Help"
248,"09/25/2022 05:56:47 (MST)","Post",45.15,NA,"A2Demo (21)","Utah","specialized","","","","JOBEX",0,1,3,3,2,1,1,3,3,2,NA,NA,NA,NA,NA,"2",NA,"","No Help"
2132,"12/20/2024 10:43:36 (MST)","Pre",89.86,NA,"Logistics Specialties Inc. (8)","Utah","","always","","","CPSO",0,2,1,3,2,1,2,3,1,NA,2,2,NA,3,0,"",NA,"","No Help"
1120,"10/15/2024 17:55:38 (MST)","Post",0.33,3.67,"Logistics Specialties Inc. (8)","Utah","","often","","","CSS",0,1,3,3,0,3,2,2,2,2,NA,3,NA,NA,3,"",NA,"","With Help"
735,"10/06/2024 13:22:28 (MST)","Post",97,NA,"Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,1,2,3,2,3,3,3,3,NA,2,NA,3,3,1,"",NA,"","No Help"
742,"07/01/2022 06:09:42 (MST)","Post",47,37.74,"Cache Employment Training Center (80)","Utah","","sometimes","","","ILOM",0,3,2,1,3,1,2,0,1,2,NA,NA,1,NA,NA,"",NA,"","No Help"
2073,"11/25/2024 09:48:26 (MST)","Post",37.48,NA,"Logistics Specialties Inc. (8)","Utah","","","rarely","","ISA",0,3,3,0,2,3,2,2,3,0,NA,NA,NA,1,NA,"",NA,"","No Help"
1819,"09/11/2023 10:33:28 (MST)","Post",61.44,NA,"Logistics Specialties Inc. (8)","Utah","","","never","","WSS",0,3,3,1,3,3,0,2,1,0,2,NA,NA,NA,0,"",NA,"","No Help"
673,"11/08/2024 13:17:59 (MST)","Pre",67,NA,"Logistics Specialties Inc. (8)","Oklahoma","","","","","JS",0,2,3,2,2,1,3,2,2,2,3,NA,3,3,3,"",NA,"","No Help"
132,"05/07/2022 20:05:00 (MST)","Pre",55.33,NA,"Yellowstone Academy (214)","Utah","","","","","CPSO",0,2,1,3,3,2,3,2,2,1,1,NA,NA,2,1,"",NA,"","No Help"
2407,"10/04/2024 13:26:12 (MST)","Pre",97,NA,"Logistics Specialties Inc. (8)","Utah","","rarely","","","WSS",0,2,3,2,3,3,3,2,0,1,NA,2,NA,3,1,"",NA,"","No Help"
891,"09/25/2022 06:50:00 (MST)","Post",77,8.12,"Logistics Specialties Inc. (8)","Utah","","","","","CPSO",0,2,2,1,1,3,0,2,0,2,NA,3,2,NA,NA,"",NA,"","No Help"
593,"03/14/2025 14:49:08 (MST)","Post",54.78,NA,"Columbus Community Center (9)","Utah","","never","","","JS",0,3,3,1,3,2,1,1,1,2,3,2,NA,NA,NA,"",NA,"","No Help"
759,"05/02/2025 18:27:12 (MST)","Post",97,NA,"Logistics Specialties Inc. (8)","Utah","","","","often","ISA",0,1,1,2,3,3,2,3,2,1,NA,NA,NA,NA,2,"",NA,"","No Help"
589,"06/29/2024 16:55:28 (MST)","Pre",97,8.9,"Logistics Specialties Inc. (8)","Utah","","sometimes","","often","JS",0,3,3,0,2,1,2,2,2,2,1,1,NA,1,NA,"",NA,"","With Help"
175,"02/10/2023 23:01:00 (MST)","Post",67.37,NA,"Central Technology Center (Central Tech) (56)","Utah","","","","never","JS",0,3,2,3,2,2,2,2,1,3,NA,NA,NA,NA,1,"",NA,"","No Help"
980,"03/15/2025 17:12:17 (MST)","Pre",97,NA,"Logistics Specialties Inc. (8)","Utah","specialized","","rarely","always","JOBEX",0,2,3,3,3,1,1,3,3,1,3,NA,NA,NA,NA,"",NA,"","No Help"
2157,"04/26/2024 14:10:16 (MST)","Post",66.7,NA,"Logistics Specialties Inc. (8)","Utah","","","","","JOBEX",0,2,3,2,3,1,3,0,2,3,1,NA,1,3,NA,"",NA,"","No Help"
1254,"09/07/2024 13:04:16 (MST)","Pre",40.33,17.83,"Logistics Specialties Inc. (8)","Utah","","often","","sometimes","ISA",0,2,1,0,0,2,2,1,3,2,1,2,NA,NA,NA,"",NA,"",""
1935,"11/30/2024 11:08:31 (MST)","Post",63.67,NA,"Spectrum Academy (28)","Utah","general","often","","","ISA",0,3,1,2,1,1,0,3,3,3,1,NA,0,NA,1,"1",NA,"","Observer"
2387,"01/13/2023 06:51:47 (MST)","Pre",78.48,NA,"Logistics Specialties Inc. (8)","Utah","","","never","","JOBEX",0,0,2,1,2,2,2,3,2,2,NA,3,NA,NA,NA,"",NA,"","No Help"
593,"08/16/2022 06:05:23 (MST)","Pre",18.21,1.76,"Logistics Specialties Inc. (8)","Utah","","sometimes","","always","FL",0,2,3,3,3,1,3,2,3,3,NA,1,1,NA,NA,"",NA,"","With Help"
1374,"02/05/2024 12:15:48 (MST)","Pre",44.22,15.52,"Columbus Community Center (9)","Wyoming","","","","","CSS",1,1,2,3,3,2,2,2,2,NA,2,NA,NA,NA,NA,"1",NA,"",""
262,"01/19/2025 09:30:22 (MST)","Post",49.38,NA,"Logistics Specialties Inc. (8)","Utah","","","","always","ISA",0,3,2,3,3,3,2,0,1,2,NA,NA,NA,1,3,"2",NA,"","No Help"
1916,"04/12/2024 13:53:11 (MST)","Pre",67.83,NA,"Logistics Specialties Inc. (8)","Oklahoma","","","sometimes","","WBLE",0,2,1,3,3,1,2,1,3,3,NA,NA,2,NA,NA,"",NA,"","No Help"
1026,"12/20/2024 10:52:13 (MST)","Pre",59.5,8.91,"North Sanpete School District (24)","Utah","specialized","always","","","ISA",0,3,2,3,3,0,1,1,1,3,NA,1,NA,3,NA,"3",NA,"","No Help"
1499,"10/23/2023 23:28:27 (MST)","Pre",49.38,NA,"Missoula County Public Schools (185)","Utah","general","","","","FL",0,2,3,1,2,3,2,3,NA,3,3,3,2,NA,NA,"",NA,"","No Help"
1410,"09/16/2024 11:51:28 (MST)","Pre",77.95,NA,"Southern Utah University (27)","Utah","general","","","","CPSO",0,3,3,3,3,0,2,2,3,2,2,1,NA,1,NA,"3",NA,"","No Help"
871,"11/27/2022 07:40:44 (MST)","Post",23.67,-6.34,"Utah State University (59)","Utah","","","never","","ISA",1,3,0,1,0,3,2,3,2,NA,NA,NA,NA,3,NA,"",NA,"","No Help"
2129,"09/16/2024 11:49:38 (MST)","Pre",38.67,-3,"Logistics Specialties Inc. (8)","Utah","","","","","WBLE",0,3,2,2,2,1,2,2,2,3,NA,NA,NA,NA,NA,"",NA,"","No Help"
2121,"01/15/2024 01:39:25 (MST)","Post",97,NA,"Roads to Independence (26)","Montana","specialized","","","sometimes","FL",0,2,2,1,3,3,1,1,2,3,NA,3,NA,NA,NA,"",NA,"","No Help"
2554,"07/02/2023 17:15:29 (MST)","Post",51.17,NA,"Turn Community Services (29)","Utah","","","never","","JOBEX",0,2,2,3,3,2,3,3,2,1,3,NA,NA,NA,NA,"",NA,"","No Help"
421,"09/25/2022 12:47:19 (MST)","Pre",78.48,11.82,"Logistics Specialties Inc. (8)","Utah","","","","often","JOBEX",0,2,1,3,3,2,2,2,3,1,2,NA,3,NA,3,"",NA,"","No Help"
2305,"10/15/2024 18:15:49 (MST)","Post",61.44,NA,"Logistics Specialties Inc. (8)","Wyoming","","","","","ISA",0,2,3,2,2,3,2,3,2,3,1,NA,3,NA,3,"",NA,"",""
1406,"11/26/2024 08:10:52 (MST)","Pre",68.43,-6.33,"Utah Valley University (60)","Utah","","","","always","CPSO",0,1,2,2,3,2,2,3,3,1,NA,NA,2,NA,NA,"0",NA,"","No Help"
2132,"09/28/2024 14:25:09 (MST)","Pre",80.33,NA,"Logistics Specialties Inc. (8)","Utah","","rarely","sometimes","","ISA",0,1,1,0,2,2,1,0,2,2,1,2,NA,NA,NA,"",NA,"","No Help"
1871,"11/04/2024 12:31:05 (MST)","Post",63.67,NA,"Region 1 (271)","Utah","","always","","","ISA",0,1,2,2,1,1,2,2,2,3,2,NA,NA,NA,2,"",1,"","No Help"
864,"03/03/2024 11:42:56 (MST)","Pre",70.33,NA,"Columbus Community Center (9)","Montana","","often","","","ISA",0,3,3,2,2,2,2,2,2,3,1,NA,2,3,1,"",NA,"","No Help"
961,"11/25/2024 13:37:12 (MST)","Post",67,45.49,"Logistics Specialties Inc. (8)","Utah","general","rarely","","","CSS",0,2,1,0,3,3,2,3,3,2,NA,NA,3,NA,NA,"",NA,"",""
1333,"08/09/2024 13:36:50 (MST)","Pre",39.86,17.83,"Logistics Specialties Inc. (8)","Utah","","often","","","FL",0,0,2,3,3,3,1,2,0,NA,3,NA,NA,NA,NA,"2",NA,"","No Help"
1771,"04/03/2023 08:40:41 (MST)","Pre",44.62,NA,"Logistics Specialties Inc. (8)","Utah","","","","","CPSO",0,2,1,2,3,2,3,2,2,2,1,3,NA,NA,NA,"",NA,"","No Help"
2563,"12/24/2024 14:24:35 (MST)","Post",82.19,NA,"Logistics Specialties Inc. (8)","Utah","","","","","WBLE",0,3,2,3,3,2,2,2,3,1,2,0,NA,NA,1,"",NA,"","No Help"
1625,"03/23/2024 13:25:10 (MST)","Pre",60.33,NA,"Roads to Independence (26)","Utah","general","","","","JOBEX",0,3,2,2,2,2,3,2,3,2,1,0,NA,3,NA,"",NA,"","No Help"
