"Participant ID","Completed","Pre/Post","Score","Difference","Proctor","Provider","State","Caseload","Group Frequency","Online Frequency","Rural Frequency","Service","Archived","q_01","q_02","q_03","q_04","q_05","q_06","q_07","q_08","q_09","q_10","q_11","q_12","q_13","q_14","q_15","q_16","q_17","Mode"
891,"07/22/2024 09:25:47 (MST)","Post",95.24,NA,"","North Sanpete School District (24)","Utah","","","","","ILOM",0,3,1,1,3,3,2,2,1,3,NA,2,1,NA,3,"",NA,"",""
187,"11/04/2024 16:44:35 (MST)","Pre",86.67,NA,"","North Sanpete School District (24)","Utah","","","","always","CSS",0,3,0,2,3,0,1,2,2,3,1,3,NA,NA,NA,"",NA,"","No Help"
90,"05/20/2024 11:23:57 (MST)","Pre",85.19,11.91,"Jordan Allen","Logistics Specialties Inc. (8)","Utah","","","sometimes","","WBLE",0,3,3,2,2,3,3,3,0,0,1,NA,NA,NA,NA,"1",NA,"","No Help"
2091,"10/28/2024 12:55:23 (MST)","Pre",60.61,11.9,"Demo Agency2","Spectrum Academy (28)","Montana","","","","","CSS",0,2,3,2,0,2,2,1,NA,2,1,NA,3,NA,NA,"",NA,"","No Help"
1771,"06/11/2024 17:48:36 (MST)","Post",63.33,30,"","North Sanpete School District (24)","Utah","","rarely","","sometimes","CPSO",0,1,1,1,3,2,3,3,2,3,0,NA,NA,NA,NA,"",NA,"","No Help"
331,"12/19/2024 12:33:29 (MST)","Post",55.56,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,3,3,1,3,1,1,3,3,3,1,NA,NA,NA,NA,"",NA,"",""
376,"05/24/2022 21:01:00 (MST)","Pre",54.76,3.71,"","Logistics Specialties Inc. (8)","Utah","","","sometimes","never","WBLE",0,2,0,3,3,1,3,2,1,0,NA,1,NA,NA,NA,"",NA,"","With Help"
1374,"12/04/2024 15:53:23 (MST)","Post",70.83,NA,"","A2Demo (21)","Utah","specialized","","","","CPSO",0,2,1,3,3,3,2,3,1,3,NA,NA,NA,3,2,"",NA,"","No Help"
2305,"12/10/2024 09:20:25 (MST)","Post",52.38,NA,"","Roads to Independence (26)","Utah","","","","","WSS",0,2,1,0,2,2,1,1,3,3,3,3,NA,NA,NA,"",NA,"","With Help"
2157,"01/07/2025 12:40:25 (MST)","Pre",55.56,33.34,"","Adams 12 (98)","Utah","general","","","","FL",0,2,2,3,1,2,2,3,2,NA,NA,1,NA,NA,NA,"",NA,"",""
2091,"04/06/2023 10:41:04 (MST)","Post",53.33,-16.67,"","Logistics Specialties Inc. (8)","Utah","","","","rarely","ISA",0,3,1,2,3,2,3,2,3,2,NA,2,2,NA,NA,"",NA,"","No Help"
2532,"05/12/2023 10:11:05 (MST)","Pre",64.29,NA,"","Community Options (82)","Utah","","","","","JS",0,2,3,2,2,2,1,3,3,2,3,1,NA,NA,NA,"1",NA,"","No Help"
2334,"05/30/2023 15:35:53 (MST)","Pre",54.17,NA,"","Columbus Community Center (9)","Utah","specialized","","","","WBLE",0,3,3,2,2,3,2,2,2,2,2,NA,0,NA,NA,"",NA,"","No Help"
1501,"11/06/2023 15:52:44 (MST)","Pre",75,NA,"","Logistics Specialties Inc. (8)","Utah","","always","","","WSS",0,1,2,1,2,1,2,0,1,NA,NA,2,2,3,NA,"",NA,"","No Help"
398,"01/31/2024 10:38:47 (MST)","Post",63.33,NA,"","Logistics Specialties Inc. (8)","Utah","","","","always","ISA",0,3,3,2,2,2,3,2,1,2,2,NA,NA,NA,NA,"",NA,"","No Help"
891,"06/04/2024 11:55:40 (MST)","Post",100,0,"","Central Technology Center (Central Tech) (56)","Utah","general","","","never","JS",0,2,1,2,1,2,2,3,3,1,NA,NA,NA,2,NA,"",NA,"","No Help"
978,"02/23/2023 18:11:33 (MST)","Pre",79.17,NA,"Doescher  Courtney Doescher","Central Technology Center (Central Tech) (56)","Utah","general","","","","CSS",0,2,1,2,3,1,2,1,3,3,1,NA,3,NA,NA,"$ 15.00",NA,"",""
2449,"10/27/2022 11:40:34 (MST)","Pre",30.95,NA,"","Roads to Independence (26)","Colorado","","","","","JS",0,0,3,2,2,2,3,3,NA,NA,NA,2,2,NA,NA,"2",NA,"",""
227,"05/26/2023 08:36:52 (MST)","Pre",66.67,NA,"","Logistics Specialties Inc. (8)","Utah","","","sometimes","","ISA",0,1,2,1,2,1,1,2,1,2,2,1,NA,2,0,"",NA,"","No Help"
1239,"01/10/2024 14:37:30 (MST)","Pre",81.82,NA,"","Roads to Independence (26)","Utah","","","never","never","JS",0,3,1,3,3,2,1,1,1,3,3,NA,NA,2,NA,"",NA,"","No Help"
1775,"10/26/2022 06:38:02 (MST)","Pre",26.67,45.24,"","Logistics Specialties Inc. (8)","Utah","specialized","","","","WSS",0,2,3,3,3,3,1,2,2,3,3,NA,NA,NA,NA,"",NA,"","No Help"
735,"04/28/2022 01:47:58 (MST)","Post",51.85,41.67,"","Logistics Specialties Inc. (8)","Utah","","","","","CPSO",0,2,2,1,3,0,3,1,1,0,2,NA,NA,NA,NA,"",NA,"","No Help"
512,"05/30/2023 11:48:42 (MST)","Pre",33.33,NA,"","Roads to Independence (26)","Utah","","","","sometimes","CPSO",0,3,2,3,2,3,0,3,3,0,3,NA,2,NA,NA,"",NA,"","No Help"
1916,"01/04/2022 22:00:00 (MST)","Pre",30,NA,"Kerensa Funk","Logistics Specialties Inc. (8)","Utah","general","","","always","JOBEX",0,3,0,2,3,1,2,2,1,NA,3,NA,NA,NA,0,"",NA,"","No Help"
1369,"06/08/2022 01:10:25 (MST)","Pre",55.56,NA,"","Community Options (82)","Utah","general","","","","JS",0,2,3,0,1,3,3,3,3,1,3,NA,NA,3,NA,"",NA,"",""
1254,"11/01/2023 19:44:39 (MST)","Pre",43.33,NA,"","Logistics Specialties Inc. (8)","Utah","","never","","","FL",0,3,0,1,3,2,2,3,1,NA,2,3,NA,NA,NA,"",NA,"","No Help"
1669,"06/28/2024 10:09:57 (MST)","Pre",33.33,2.38,"Joanne Sagendorf","Logistics Specialties Inc. (8)","Utah","","","","","WBLE",0,3,0,1,3,2,3,3,2,3,NA,NA,NA,3,NA,"",NA,"","No Help"
267,"12/05/2024 13:22:22 (MST)","Pre",66.67,NA,"Rachel Brown","Logistics Specialties Inc. (8)","Utah","","never","","","JOBEX",0,1,2,2,1,3,3,3,1,NA,3,1,NA,2,NA,"2",NA,"","No Help"
641,"03/14/2023 17:05:35 (MST)","Pre",96.67,0,"","Logistics Specialties Inc. (8)","Utah","specialized","","","","ILOM",0,3,0,1,2,3,3,1,2,2,NA,NA,NA,NA,2,"",NA,"","No Help"
956,"09/23/2022 06:55:30 (MST)","Post",60.61,NA,"Jan Witt","Logistics Specialties Inc. (8)","Utah","","","","","CSS",1,1,2,0,2,2,0,1,2,1,0,3,3,NA,NA,"",NA,"","No Help"
1103,"12/16/2024 16:27:54 (MST)","Pre",84.44,NA,"","Logistics Specialties Inc. (8)","Utah","general","","","sometimes","CPSO",0,2,2,2,2,2,2,2,1,3,NA,3,NA,NA,3,"",NA,"","No Help"
858,"06/14/2024 13:21:39 (MST)","Pre",52.38,NA,"Daelynn Disque","Logistics Specialties Inc. (8)","Utah","","","","often","ISA",0,3,2,2,2,1,3,0,1,1,NA,NA,NA,NA,2,"",NA,"","No Help"
1073,"11/07/2024 11:37:14 (MST)","Pre",54.76,NA,"","Utah Schools for Deaf/Blind (58)","Utah","","","","","WSS",0,1,2,3,1,2,3,3,2,NA,2,NA,2,1,NA,"2",NA,"","No Help"
1026,"02/14/2022 04:37:09 (MST)","Pre",95.83,NA,"Utah SUU","Logistics Specialties Inc. (8)","Utah","general","","often","sometimes","JS",0,3,1,3,3,0,0,2,3,1,NA,NA,3,NA,NA,"",NA,"","No Help"
1916,"06/26/2024 13:05:19 (MST)","Pre",44.44,14.28,"Daisy Ramirez","Yellowstone Academy (214)","Wyoming","","","","","ISA",0,1,2,2,1,2,2,1,NA,NA,2,NA,NA,1,NA,"",NA,"","No Help"
1362,"07/24/2024 09:44:53 (MST)","Post",62.22,NA,"Utah CCC","University of Oklahoma (50)","Utah","","often","rarely","always","WSS",0,2,1,1,3,2,2,3,1,3,NA,NA,NA,NA,NA,"",NA,"",""
2121,"09/23/2022 06:51:57 (MST)","Post",55.56,NA,"","Turn Community Services (29)","Utah","","","rarely","","ISA",0,1,2,3,3,1,3,3,1,1,NA,NA,NA,NA,NA,"",1,"","With Help"
2387,"12/03/2021 07:58:04 (MST)","Pre",76.67,NA,"Kaylee Lockwood","Community Options (82)","Utah","","","","often","CPSO",0,2,2,3,3,1,1,1,3,0,NA,NA,NA,NA,NA,"",NA,"","No Help"
681,"04/20/2023 09:49:36 (MST)","Pre",63.64,NA,"Cierra Stubbs","Logistics Specialties Inc. (8)","Utah","","","","","FL",0,1,2,3,2,2,2,3,0,1,3,NA,NA,3,0,"",NA,"","No Help"
1441,"09/13/2023 14:47:42 (MST)","Post",100,NA,"","Logistics Specialties Inc. (8)","Oklahoma","","","","often","CSS",0,1,1,0,3,3,2,1,3,2,NA,NA,2,NA,NA,"",NA,"","No Help"
1669,"05/01/2024 13:58:47 (MST)","Pre",71.43,NA,"","Turn Community Services (29)","Utah","","","","","FL",0,2,1,0,1,2,2,3,2,2,NA,NA,2,10,2,"",NA,"","No Help"
2126,"05/20/2024 11:28:00 (MST)","Pre",90.91,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","JOBEX",0,3,1,1,1,3,3,3,3,2,1,NA,NA,NA,NA,"3",NA,"","With Help"
497,"05/14/2024 12:26:01 (MST)","Post",74.07,NA,"","Logistics Specialties Inc. (8)","Utah","","","sometimes","often","ISA",0,2,2,3,2,1,2,1,3,NA,0,NA,NA,NA,NA,"",NA,"","With Help"
2264,"03/29/2024 12:25:52 (MST)","Pre",83.33,10,"","Turn Community Services (29)","Utah","","","","","CPSO",0,3,0,1,0,1,2,1,3,2,3,0,NA,NA,NA,"1",NA,"","No Help"
2214,"04/19/2023 13:22:28 (MST)","Post",88.89,NA,"Jennica Hammond","Logistics Specialties Inc. (8)","Utah","","","","","WBLE",0,1,0,1,2,0,1,0,3,2,NA,3,NA,NA,1,"",NA,"","No Help"
1771,"10/16/2022 22:58:00 (MST)","Pre",26.67,16.67,"","Logistics Specialties Inc. (8)","Utah","specialized","","","","JOBEX",0,1,0,1,3,3,2,2,1,2,NA,NA,3,2,NA,"1",NA,"","No Help"
978,"06/20/2024 09:38:07 (MST)","Post",100,31.11,"","Turn Community Services (29)","Utah","specialized","","","","CSS",0,3,0,3,2,1,1,2,1,NA,3,NA,NA,NA,3,"",NA,"",""
2224,"03/25/2022 02:26:36 (MST)","Pre",53.33,45.24,"Utah TURN","Hamilton School Dist. #3 (170)","Utah","","","sometimes","","JOBEX",0,3,3,0,0,3,3,3,2,NA,1,3,2,NA,2,"",NA,"","No Help"
1501,"04/03/2024 14:05:50 (MST)","Post",69.7,33.34,"Abigail Yang","Logistics Specialties Inc. (8)","Utah","","sometimes","","often","JS",0,1,2,0,1,3,1,0,1,2,NA,0,3,NA,3,"",NA,"","No Help"
2093,"08/29/2023 13:59:06 (MST)","Pre",70.37,NA,"","Logistics Specialties Inc. (8)","Utah","general","often","","","JOBEX",0,2,2,3,3,0,3,3,0,NA,NA,3,3,2,NA,"",NA,"","No Help"
774,"07/27/2023 20:49:49 (MST)","Pre",42.22,NA,"Demo Agency2","Logistics Specialties Inc. (8)","Utah","","","","always","ISA",0,3,3,1,3,2,2,3,3,NA,2,3,NA,2,0,"",NA,"","No Help"
681,"08/28/2023 11:17:28 (MST)","Post",64.29,NA,"","Logistics Specialties Inc. (8)","Oklahoma","","","","","ISA",0,2,1,2,3,3,3,3,2,NA,2,1,3,2,1,"",NA,"",""
1935,"03/14/2023 15:12:11 (MST)","Post",60,6.67,"","Spectrum Academy (28)","Utah","general","","sometimes","never","FL",1,3,3,2,1,1,1,1,2,1,NA,NA,NA,3,3,"",NA,"","No Help"
2126,"05/30/2023 12:11:39 (MST)","Pre",91.67,NA,"","North Sanpete School District (24)","Utah","","","rarely","","WBLE",0,2,2,3,3,2,3,2,2,1,NA,NA,0,3,NA,"",NA,"","No Help"
248,"05/11/2022 03:56:47 (MST)","Post",48.15,NA,"","A2Demo (21)","Utah","specialized","","","","JOBEX",0,1,3,3,2,1,1,3,3,2,NA,NA,NA,NA,NA,"2",NA,"","No Help"
2132,"08/05/2024 08:43:36 (MST)","Pre",92.86,NA,"","Logistics Specialties Inc. (8)","Utah","","always","","","CPSO",0,2,1,3,2,1,2,3,1,NA,2,2,NA,3,0,"",NA,"","No Help"
1120,"05/31/2024 15:55:38 (MST)","Post",3.33,6.67,"","Logistics Specialties Inc. (8)","Utah","","often","","","CSS",0,1,3,3,0,3,2,2,2,2,NA,3,NA,NA,3,"",NA,"","With Help"
735,"05/22/2024 11:22:28 (MST)","Post",100,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,1,2,3,2,3,3,3,3,NA,2,NA,3,3,1,"",NA,"","No Help"
742,"02/14/2022 04:09:42 (MST)","Post",50,40.74,"Kerensa Funk","Cache Employment Training Center (80)","Utah","","sometimes","","","ILOM",0,3,2,1,3,1,2,0,1,2,NA,NA,1,NA,NA,"",NA,"","No Help"
2073,"07/11/2024 07:48:26 (MST)","Post",40.48,NA,"","Logistics Specialties Inc. (8)","Utah","","","rarely","","ISA",0,3,3,0,2,3,2,2,3,0,NA,NA,NA,1,NA,"",NA,"","No Help"
1819,"04/27/2023 08:33:28 (MST)","Post",64.44,NA,"Jennica Hammond","Logistics Specialties Inc. (8)","Utah","","","never","","WSS",0,3,3,1,3,3,0,2,1,0,2,NA,NA,NA,0,"",NA,"","No Help"
673,"06/24/2024 11:17:59 (MST)","Pre",70,NA,"","Logistics Specialties Inc. (8)","Oklahoma","","","","","JS",0,2,3,2,2,1,3,2,2,2,3,NA,3,3,3,"",NA,"","No Help"
132,"12/21/2021 18:05:00 (MST)","Pre",58.33,NA,"Kellie Spencer","Yellowstone Academy (214)","Utah","","","","","CPSO",0,2,1,3,3,2,3,2,2,1,1,NA,NA,2,1,"",NA,"","No Help"
2407,"05/20/2024 11:26:12 (MST)","Pre",100,NA,"Tracy Tilley","Logistics Specialties Inc. (8)","Utah","","rarely","","","WSS",0,2,3,2,3,3,3,2,0,1,NA,2,NA,3,1,"",NA,"","No Help"
891,"05/11/2022 04:50:00 (MST)","Post",80,11.12,"Alisha Anderson","Logistics Specialties Inc. (8)","Utah","","","","","CPSO",0,2,2,1,1,3,0,2,0,2,NA,3,2,NA,NA,"",NA,"","No Help"
593,"10/28/2024 12:49:08 (MST)","Post",57.78,NA,"","Columbus Community Center (9)","Utah","","never","","","JS",0,3,3,1,3,2,1,1,1,2,3,2,NA,NA,NA,"",NA,"","No Help"
759,"12/16/2024 16:27:12 (MST)","Post",100,NA,"","Logistics Specialties Inc. (8)","Utah","","","","often","ISA",0,1,1,2,3,3,2,3,2,1,NA,NA,NA,NA,2,"",NA,"","No Help"
589,"02/13/2024 14:55:28 (MST)","Pre",100,11.9,"Utah TURN","Logistics Specialties Inc. (8)","Utah","","sometimes","","often","JS",0,3,3,0,2,1,2,2,2,2,1,1,NA,1,NA,"",NA,"","With Help"
175,"09/26/2022 21:01:00 (MST)","Post",70.37,NA,"","Central Technology Center (Central Tech) (56)","Utah","","","","never","JS",0,3,2,3,2,2,2,2,1,3,NA,NA,NA,NA,1,"",NA,"","No Help"
980,"10/29/2024 15:12:17 (MST)","Pre",100,NA,"","Logistics Specialties Inc. (8)","Utah","specialized","","rarely","always","JOBEX",0,2,3,3,3,1,1,3,3,1,3,NA,NA,NA,NA,"",NA,"","No Help"
2157,"12/11/2023 12:10:16 (MST)","Post",69.7,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","JOBEX",0,2,3,2,3,1,3,0,2,3,1,NA,1,3,NA,"",NA,"","No Help"
1254,"04/23/2024 11:04:16 (MST)","Pre",43.33,20.83,"Rachel Brown","Logistics Specialties Inc. (8)","Utah","","often","","sometimes","ISA",0,2,1,0,0,2,2,1,3,2,1,2,NA,NA,NA,"",NA,"",""
1935,"07/16/2024 09:08:31 (MST)","Post",66.67,NA,"","Spectrum Academy (28)","Utah","general","often","","","ISA",0,3,1,2,1,1,0,3,3,3,1,NA,0,NA,1,"1",NA,"","Observer"
2387,"08/29/2022 04:51:47 (MST)","Pre",81.48,NA,"Jennica Hammond","Logistics Specialties Inc. (8)","Utah","","","never","","JOBEX",0,0,2,1,2,2,2,3,2,2,NA,3,NA,NA,NA,"",NA,"","No Help"
593,"04/01/2022 04:05:23 (MST)","Pre",21.21,4.76,"Michael Gullion","Logistics Specialties Inc. (8)","Utah","","sometimes","","always","FL",0,2,3,3,3,1,3,2,3,3,NA,1,1,NA,NA,"",NA,"","With Help"
1374,"09/21/2023 10:15:48 (MST)","Pre",47.22,18.52,"Utah NSSD","Columbus Community Center (9)","Wyoming","","","","","CSS",1,1,2,3,3,2,2,2,2,NA,2,NA,NA,NA,NA,"1",NA,"",""
262,"09/04/2024 07:30:22 (MST)","Post",52.38,NA,"","Logistics Specialties Inc. (8)","Utah","","","","always","ISA",0,3,2,3,3,3,2,0,1,2,NA,NA,NA,1,3,"2",NA,"","No Help"
1916,"11/27/2023 11:53:11 (MST)","Pre",70.83,NA,"","Logistics Specialties Inc. (8)","Oklahoma","","","sometimes","","WBLE",0,2,1,3,3,1,2,1,3,3,NA,NA,2,NA,NA,"",NA,"","No Help"
1026,"08/05/2024 08:52:13 (MST)","Pre",62.5,11.91,"","North Sanpete School District (24)","Utah","specialized","always","","","ISA",0,3,2,3,3,0,1,1,1,3,NA,1,NA,3,NA,"3",NA,"","No Help"
1499,"06/08/2023 21:28:27 (MST)","Pre",52.38,NA,"","Missoula County Public Schools (185)","Utah","general","","","","FL",0,2,3,1,2,3,2,3,NA,3,3,3,2,NA,NA,"",NA,"","No Help"
1410,"05/02/2024 09:51:28 (MST)","Pre",80.95,NA,"Jordan Allen","Southern Utah University (27)","Utah","general","","","","CPSO",0,3,3,3,3,0,2,2,3,2,2,1,NA,1,NA,"3",NA,"","No Help"
871,"07/13/2022 05:40:44 (MST)","Post",26.67,-3.34,"Theresa Flight","Utah State University (59)","Utah","","","never","","ISA",1,3,0,1,0,3,2,3,2,NA,NA,NA,NA,3,NA,"",NA,"","No Help"
2129,"05/02/2024 09:49:38 (MST)","Pre",41.67,0,"","Logistics Specialties Inc. (8)","Utah","","","","","WBLE",0,3,2,2,2,1,2,2,2,3,NA,NA,NA,NA,NA,"",NA,"","No Help"
2121,"08/30/2023 23:39:25 (MST)","Post",100,NA,"Kellie Spencer","Roads to Independence (26)","Montana","specialized","","","sometimes","FL",0,2,2,1,3,3,1,1,2,3,NA,3,NA,NA,NA,"",NA,"","No Help"
2554,"02/15/2023 15:15:29 (MST)","Post",54.17,NA,"","Turn Community Services (29)","Utah","","","never","","JOBEX",0,2,2,3,3,2,3,3,2,1,3,NA,NA,NA,NA,"",NA,"","No Help"
421,"05/11/2022 10:47:19 (MST)","Pre",81.48,14.82,"","Logistics Specialties Inc. (8)","Utah","","","","often","JOBEX",0,2,1,3,3,2,2,2,3,1,2,NA,3,NA,3,"",NA,"","No Help"
2305,"05/31/2024 16:15:49 (MST)","Post",64.44,NA,"","Logistics Specialties Inc. (8)","Wyoming","","","","","ISA",0,2,3,2,2,3,2,3,2,3,1,NA,3,NA,3,"",NA,"",""
1406,"07/12/2024 06:10:52 (MST)","Pre",71.43,-3.33,"Utah SUU","Utah Valley University (60)","Utah","","","","always","CPSO",0,1,2,2,3,2,2,3,3,1,NA,NA,2,NA,NA,"0",NA,"","No Help"
2132,"05/14/2024 12:25:09 (MST)","Pre",83.33,NA,"Courtney  Bennett","Logistics Specialties Inc. (8)","Utah","","rarely","sometimes","","ISA",0,1,1,0,2,2,1,0,2,2,1,2,NA,NA,NA,"",NA,"","No Help"
1871,"06/20/2024 10:31:05 (MST)","Post",66.67,NA,"Michael Gullion","Region 1 (271)","Utah","","always","","","ISA",0,1,2,2,1,1,2,2,2,3,2,NA,NA,NA,2,"",1,"","No Help"
864,"10/18/2023 09:42:56 (MST)","Pre",73.33,NA,"","Columbus Community Center (9)","Montana","","often","","","ISA",0,3,3,2,2,2,2,2,2,3,1,NA,2,3,1,"",NA,"","No Help"
